Building,DemolitionDate,BuildingImage,promptcategory,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,prompt,Imperative,PromptTemplate,difficulty,currentState,expectedValue,testImage,testImage_sdxlbase,testImage_sdxlturbo,testImage_sdv15,annotation_verdict_subject_present_1_sdxlturbo,annotation_verdict_Temp_Know_1_sdxlturbo,annotation_verdict_visual_err_1_sdxlturbo,annotation_verdict_subject_present_1_sdxlbase,annotation_verdict_Temp_Know_1_sdxlbase,annotation_verdict_visual_err_1_sdxlbase,annotation_verdict_subject_present_1_sdv15,annotation_verdict_Temp_Know_1_sdv15,annotation_verdict_visual_err_1_sdv15,annotationAverage,promptQuestions,annotation_verdict_final_1_sdxlturbo,annotation_verdict_final_1_sdxlbase,annotation_verdict_final_1_sdv15
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_26_Commissars_Memorial_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_26_Commissars_Memorial_random_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_26_Commissars_Memorial_random_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_26_Commissars_Memorial_random_before_Produce.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the 26 Commissars Memorial in Azerbaijan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976? Please provide a clear yes or no answer",0,0,0
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_26_Commissars_Memorial_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_26_Commissars_Memorial_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_26_Commissars_Memorial_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_26_Commissars_Memorial_before_Produce.png,0,0,1,0,0,0,0,0,1,0.16666666666666666,"Is the 26 Commissars Memorial in Azerbaijan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009? Please provide a clear yes or no answer",0,0,0
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_26_Commissars_Memorial_random_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_26_Commissars_Memorial_random_after_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_26_Commissars_Memorial_random_after_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_26_Commissars_Memorial_random_after_Generate.png,0,0,1,0,0,0,0,0,1,0.16666666666666666,"Is the 26 Commissars Memorial in Azerbaijan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014? Please provide a clear yes or no answer",0,0,0
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_26_Commissars_Memorial_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_26_Commissars_Memorial_after_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_26_Commissars_Memorial_after_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_26_Commissars_Memorial_after_Generate.png,0,0,1,0,0,0,0,0,1,0.16666666666666666,"Is the 26 Commissars Memorial in Azerbaijan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009? Please provide a clear yes or no answer",0,0,0
Žalgiris Stadium,01/01/2016,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BDalgiris-Stadion.jpg,random before,Point(25.29025 54.693481),Lithuania,02/25/1990,8/11/2020,Point(25.29025 54.693481),25.29025,54.693481,https://commons.wikimedia.org/wiki/Category:%C5%BDalgiris%20Stadium,0,01/01/1951,9,Produce a photorealistic image of the Žalgiris Stadium in Lithuania on 02/25/1990,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Žalgiris_Stadium_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Žalgiris_Stadium_random_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Žalgiris_Stadium_random_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Žalgiris_Stadium_random_before_Produce.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Žalgiris Stadium in Lithuania in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Žalgiris Stadium in Lithuania on 02/25/1990? Please provide a clear yes or no answer",0,0,0
Žalgiris Stadium,01/01/2016,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BDalgiris-Stadion.jpg,before,Point(25.29025 54.693481),Lithuania,02/25/1990,8/11/2020,Point(25.29025 54.693481),25.29025,54.693481,https://commons.wikimedia.org/wiki/Category:%C5%BDalgiris%20Stadium,0,01/01/1951,9,Create a photorealistic image of the Žalgiris Stadium in Lithuania before 01/01/2016,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Žalgiris_Stadium_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Žalgiris_Stadium_before_Create.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Žalgiris_Stadium_before_Create.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Žalgiris_Stadium_before_Create.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Žalgiris Stadium in Lithuania in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Žalgiris Stadium in Lithuania before 01/01/2016? Please provide a clear yes or no answer",0,0,0
Žalgiris Stadium,01/01/2016,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BDalgiris-Stadion.jpg,random after,Point(25.29025 54.693481),Lithuania,02/25/1990,8/11/2020,Point(25.29025 54.693481),25.29025,54.693481,https://commons.wikimedia.org/wiki/Category:%C5%BDalgiris%20Stadium,0,01/01/1951,9,Generate a photorealistic image of the Žalgiris Stadium in Lithuania on 8/11/2020,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Žalgiris_Stadium_random_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Žalgiris_Stadium_random_after_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Žalgiris_Stadium_random_after_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Žalgiris_Stadium_random_after_Generate.png,0,0,1,0,0,1,0,0,0,0.16666666666666666,"Is the Žalgiris Stadium in Lithuania in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Žalgiris Stadium in Lithuania on 8/11/2020? Please provide a clear yes or no answer",0,0,0
Žalgiris Stadium,01/01/2016,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BDalgiris-Stadion.jpg,after,Point(25.29025 54.693481),Lithuania,02/25/1990,8/11/2020,Point(25.29025 54.693481),25.29025,54.693481,https://commons.wikimedia.org/wiki/Category:%C5%BDalgiris%20Stadium,0,01/01/1951,9,Create a photorealistic image of the Žalgiris Stadium in Lithuania after 01/01/2016,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Žalgiris_Stadium_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Žalgiris_Stadium_after_Create.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Žalgiris_Stadium_after_Create.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Žalgiris_Stadium_after_Create.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Žalgiris Stadium in Lithuania in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Žalgiris Stadium in Lithuania after 01/01/2016? Please provide a clear yes or no answer",0,0,0
Bauakademie,03/13/1962,http://commons.wikimedia.org/wiki/Special:FilePath/Bauakademie%201466.JPG,random before,Point(13.3989 52.5161),Germany,10/08/1853,8/15/1964,Point(13.3989 52.5161),13.3989,52.5161,https://commons.wikimedia.org/wiki/Category:Bauakademie%20%28Berlin%29,0,01/01/1799,12,Generate a photorealistic image of the Bauakademie in Germany on 10/08/1853,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Bauakademie_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Bauakademie_random_before_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Bauakademie_random_before_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Bauakademie_random_before_Generate.png,0,0,1,0,0,1,0,0,0,0.16666666666666666,"Is the Bauakademie in Germany in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Bauakademie in Germany on 10/08/1853? Please provide a clear yes or no answer",0,0,0
Bauakademie,03/13/1962,http://commons.wikimedia.org/wiki/Special:FilePath/Bauakademie%201466.JPG,before,Point(13.3989 52.5161),Germany,10/08/1853,8/15/1964,Point(13.3989 52.5161),13.3989,52.5161,https://commons.wikimedia.org/wiki/Category:Bauakademie%20%28Berlin%29,0,01/01/1799,12,Give me a photorealistic image of the Bauakademie in Germany before 03/13/1962,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Bauakademie_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Bauakademie_before_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Bauakademie_before_Give_me.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Bauakademie_before_Give_me.png,0,0,1,0,0,0,0,0,1,0.16666666666666666,"Is the Bauakademie in Germany in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Bauakademie in Germany before 03/13/1962? Please provide a clear yes or no answer",0,0,0
