name,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,promptedage,goldenrecordImages,expectedValue
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Create,Create a photorealistic image of an Aardvark that is 1 month old,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Create,Create a photorealistic image of an Aardvark that is 18 years old,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Create,Create a photorealistic image of an Aardvark that is 46 years old,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Create,Create a photorealistic image of a Aardvark that is 11 years old,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Generate,Generate a photorealistic image of an Aardvark that is 1 month old,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Generate,Generate a photorealistic image of an Aardvark that is 18 years old,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an Aardvark that is 46 years old,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of a Aardvark that is 11 years old,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Give me,Give me a photorealistic image of an Aardvark that is 1 month old,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of an Aardvark that is 18 years old,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
