promptcategory,place,suggestion,imperative,prompttemplate,prompt,difficulty,testImage,testImage_sdxlbase,testImage_sdxlturbo,testImage_sdv15,goldenrecordImages,annotation_verdict_subject_present_1_sdxlturbo,annotation_verdict_Temp_Know_1_sdxlturbo,annotation_verdict_visual_err_1_sdxlturbo,annotation_verdict_subject_present_1_sdxlbase,annotation_verdict_Temp_Know_1_sdxlbase,annotation_verdict_visual_err_1_sdxlbase,annotation_verdict_subject_present_1_sdv15,annotation_verdict_Temp_Know_1_sdv15,annotation_verdict_visual_err_1_sdv15,annotationAverage,promptQuestions,annotation_verdict_final_1_sdxlturbo,annotation_verdict_final_1_sdxlbase,annotation_verdict_final_1_sdv15
maps,africa,1914,Give me,(imperative) a realistic map illustrating (place) in (suggestion),Give me a realistic map illustrating africa in 1914,1,/work/bba4287/output/samples/maps/sampletest_africa_1914_Give_me.png,/work/bba4287/output/sdxlbase/manual/sampletest_sdxlbase_africa_1914_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_africa_1914_Give_me.png,/work/bba4287/output/sdv15/manual/sampletest_sdv15_africa_1914_Give_me.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/africa/maps_africa_1914.png,1,0,0,1,0,1,1,0,0,0.3333333333333333,"Is there a map of africa in the image? Please provide a clear, concise yes or no answer; Does the map in the image show africa in 1914? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map illustrating africa in 1914? Please provide a clear yes or no answer",0,0,0
maps,africa,1914,Give me,(imperative) a realistic map of (place) as it was in (suggestion),Give me a realistic map of africa as it was in 1914,1,/work/bba4287/output/samples/maps/sampletest_africa_1914_Give_me.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_africa_1914_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/manual/sampletest_sdxlturbo_africa_1914_Give_me.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_africa_1914_Give_me.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/africa/maps_africa_1914.png,1,0,0,1,0,1,1,0,1,0.4166666666666667,"Is there a map of africa in the image? Please provide a clear, concise yes or no answer; Does the map in the image show africa in 1914? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map of africa as it was in 1914? Please provide a clear yes or no answer",0,0,0
maps,africa,1960,Produce,(imperative) a realistic map of (place) in (suggestion),Produce a realistic map of africa in 1960,1,/work/bba4287/output/samples/maps/sampletest_africa_1960_Produce.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_africa_1960_Produce.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_africa_1960_Produce.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_africa_1960_Produce.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/africa/maps_africa_1960.png,1,0,0,1,0,0,1,0,0,0.25,"Is there a map of africa in the image? Please provide a clear, concise yes or no answer; Does the map in the image show africa in 1960? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map of africa in 1960? Please provide a clear yes or no answer",0,0,0
maps,africa,1913,Give me,(imperative) a realistic map that accurately depicts (place) in (suggestion),Give me a realistic map that accurately depicts africa in 1913,1,/work/bba4287/output/samples/maps/sampletest_africa_1913_Give_me.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_africa_1913_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_africa_1913_Give_me.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_africa_1913_Give_me.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/africa/maps_africa_1913.png,1,0,0,1,0,1,1,0,1,0.4166666666666667,"Is there a map of africa in the image? Please provide a clear, concise yes or no answer; Does the map in the image show africa in 1913? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map that accurately depicts africa in 1913? Please provide a clear yes or no answer",0,0,0
maps,america,1883,Produce,(imperative) a realistic map illustrating (place) in (suggestion),Produce a realistic map illustrating america in 1883,1,/work/bba4287/output/samples/maps/sampletest_america_1883_Produce.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_america_1883_Produce.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_america_1883_Produce.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_america_1883_Produce.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/america/maps_america_1883.png,0,0,0,0,0,0,0,0,0,0.0,"Is there a map of america in the image? Please provide a clear, concise yes or no answer; Does the map in the image show america in 1883? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map illustrating america in 1883? Please provide a clear yes or no answer",0,0,0
maps,america,1860,Produce,(imperative) a realistic map of (place) as it was in (suggestion),Produce a realistic map of america as it was in 1860,1,/work/bba4287/output/samples/maps/sampletest_america_1860_Produce.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_america_1860_Produce.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_america_1860_Produce.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_america_1860_Produce.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/america/maps_america_1860.png,0,0,0,0,0,0,0,0,1,0.08333333333333333,"Is there a map of america in the image? Please provide a clear, concise yes or no answer; Does the map in the image show america in 1860? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map of america as it was in 1860? Please provide a clear yes or no answer",0,0,0
maps,america,1860,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of america in 1860,1,/work/bba4287/output/samples/maps/sampletest_america_1860_Give_me.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_america_1860_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_america_1860_Give_me.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_america_1860_Give_me.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/america/maps_america_1860.png,0,0,0,0,0,1,0,0,0,0.08333333333333333,"Is there a map of america in the image? Please provide a clear, concise yes or no answer; Does the map in the image show america in 1860? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map of america in 1860? Please provide a clear yes or no answer",0,0,0
maps,america,1800,Generate,(imperative) a realistic map that accurately depicts (place) in (suggestion),Generate a realistic map that accurately depicts america in 1800,1,/work/bba4287/output/samples/maps/sampletest_america_1800_Generate.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_america_1800_Generate.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_america_1800_Generate.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_america_1800_Generate.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/america/maps_america_1800.png,0,0,0,0,0,1,0,0,0,0.08333333333333333,"Is there a map of america in the image? Please provide a clear, concise yes or no answer; Does the map in the image show america in 1800? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map that accurately depicts america in 1800? Please provide a clear yes or no answer",0,0,0
maps,asia,1800,Give me,(imperative) a realistic map illustrating (place) in (suggestion),Give me a realistic map illustrating asia in 1800,1,/work/bba4287/output/samples/maps/sampletest_asia_1800_Give_me.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_asia_1800_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_asia_1800_Give_me.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_asia_1800_Give_me.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/asia/maps_asia_1800.png,0,0,1,0,0,0,0,0,1,0.16666666666666666,"Is there a map of asia in the image? Please provide a clear, concise yes or no answer; Does the map in the image show asia in 1800? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map illustrating asia in 1800? Please provide a clear yes or no answer",0,0,0
maps,asia,1900,Create,(imperative) a realistic map of (place) as it was in (suggestion),Create a realistic map of asia as it was in 1900,1,/work/bba4287/output/samples/maps/sampletest_asia_1900_Create.png,/work/bba4287/output/sdxlbase/maps/sampletest_sdxlbase_asia_1900_Create.png,/work/bba4287/output/sdxlTurbo/samples/maps/sampletest_sdxlturbo_asia_1900_Create.png,/work/bba4287/output/sdv15/maps/sampletest_sdv15_asia_1900_Create.png,/work/bba4287/AIPlayground/goldenRecordImages/maps/asia/maps_asia_1900.png,0,0,0,1,0,1,1,0,0,0.25,"Is there a map of asia in the image? Please provide a clear, concise yes or no answer; Does the map in the image show asia in 1900? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A realistic map of asia as it was in 1900? Please provide a clear yes or no answer",0,0,0
