Building,DemolitionDate,BuildingImage,promptcategory,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,prompt,Imperative,PromptTemplate,difficulty,currentState,expectedValue
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Create a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Create a photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Create a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Create a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Give me a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Give me a photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Give me a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Give me a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
