period,periodstart,periodend,year,imperative,prompttemplate,promptcategory,prompt,difficulty,goldenrecordImages,expectedValue,goldenrecordImagePath,testImage,testImage_sdxlbase,testImage_sdxlturbo,testImage_sdv15,annotation_verdict_subject_present_1_sdxlturbo,annotation_verdict_Temp_Know_1_sdxlturbo,annotation_verdict_visual_err_1_sdxlturbo,annotation_verdict_subject_present_1_sdxlbase,annotation_verdict_Temp_Know_1_sdxlbase,annotation_verdict_visual_err_1_sdxlbase,annotation_verdict_subject_present_1_sdv15,annotation_verdict_Temp_Know_1_sdv15,annotation_verdict_visual_err_1_sdv15,annotationAverage,promptQuestions,annotation_verdict_final_1_sdxlturbo,annotation_verdict_final_1_sdxlbase,annotation_verdict_final_1_sdv15
Ancient Art,-3000,500,500.0,Generate,(imperative) a work of art that exemplifies a popular style in Western cultures during (year),year,Generate a work of art that exemplifies a popular style in Western cultures during 500,2,"https://www.artic.edu/artworks/64339/coffin-and-mummy-of-pa-ankh-en-amun,https://www.getty.edu/art/collection/object/1097PM,https://www.getty.edu/art/collection/object/103SXY,https://www.getty.edu/art/collection/object/103T1E,https://www.getty.edu/art/collection/object/103WJV,https://www.metmuseum.org/art/collection/search/322609,https://www.getty.edu/art/collection/object/103SQR,https://www.getty.edu/art/collection/object/103QSV,https://www.getty.edu/art/collection/object/103WEB,https://www.metmuseum.org/art/collection/search/252453","symbolic,preserved,symbolism,craftsmanship,ritual,early civilization,religious and methodological themes,symbolic imagery ","/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/CoffinandMummyofPa-ankh-en-Amun.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatueofHercules.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofAlexandertheGreat.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofJuliusCaesar.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofaBeardedMan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/Human-headedwingedlion.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatuetteofaFemaleFigure.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AtticPanathenaicAmphora.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AltarwiththeMythofAdonis.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/MarblecolumnfromtheTempleofArtemisatSardis.jpeg",/work/bba4287/output/samples/artworks/sampletest_Ancient_Art_500_year.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Ancient_Art_500_Generate.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Ancient_Art_500_Generate.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Ancient_Art_500_Generate.png,1,0,1,1,0,1,1,0,1,0.5,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Ancient Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A work of art that exemplifies a popular style in Western cultures during 500? Please provide a clear yes or no answer",0,0,0
Ancient Art,-3000,500,-200.0,Create,(imperative) a work of art that exemplifies a popular style in Western cultures during (year),year,Create a work of art that exemplifies a popular style in Western cultures during -200,2,"https://www.artic.edu/artworks/64339/coffin-and-mummy-of-pa-ankh-en-amun,https://www.getty.edu/art/collection/object/1097PM,https://www.getty.edu/art/collection/object/103SXY,https://www.getty.edu/art/collection/object/103T1E,https://www.getty.edu/art/collection/object/103WJV,https://www.metmuseum.org/art/collection/search/322609,https://www.getty.edu/art/collection/object/103SQR,https://www.getty.edu/art/collection/object/103QSV,https://www.getty.edu/art/collection/object/103WEB,https://www.metmuseum.org/art/collection/search/252453","symbolic,preserved,symbolism,craftsmanship,ritual,early civilization,religious and methodological themes,symbolic imagery ","/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/CoffinandMummyofPa-ankh-en-Amun.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatueofHercules.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofAlexandertheGreat.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofJuliusCaesar.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofaBeardedMan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/Human-headedwingedlion.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatuetteofaFemaleFigure.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AtticPanathenaicAmphora.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AltarwiththeMythofAdonis.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/MarblecolumnfromtheTempleofArtemisatSardis.jpeg",/work/bba4287/output/samples/artworks/sampletest_Ancient_Art_-200_year.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Ancient_Art_-200_Create.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Ancient_Art_-200_Create.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Ancient_Art_-200_Create.png,1,0,1,1,0,0,1,0,0,0.3333333333333333,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Ancient Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A work of art that exemplifies a popular style in Western cultures during -200? Please provide a clear yes or no answer",0,0,0
Ancient Art,-3000,500,,Create,(imperative) an artwork in a style of (period),period,Create an artwork in a style of Ancient Art,1,"https://www.artic.edu/artworks/64339/coffin-and-mummy-of-pa-ankh-en-amun,https://www.getty.edu/art/collection/object/1097PM,https://www.getty.edu/art/collection/object/103SXY,https://www.getty.edu/art/collection/object/103T1E,https://www.getty.edu/art/collection/object/103WJV,https://www.metmuseum.org/art/collection/search/322609,https://www.getty.edu/art/collection/object/103SQR,https://www.getty.edu/art/collection/object/103QSV,https://www.getty.edu/art/collection/object/103WEB,https://www.metmuseum.org/art/collection/search/252453","symbolic,preserved,symbolism,craftsmanship,ritual,early civilization,religious and methodological themes,symbolic imagery ","/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/CoffinandMummyofPa-ankh-en-Amun.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatueofHercules.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofAlexandertheGreat.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofJuliusCaesar.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofaBeardedMan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/Human-headedwingedlion.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatuetteofaFemaleFigure.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AtticPanathenaicAmphora.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AltarwiththeMythofAdonis.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/MarblecolumnfromtheTempleofArtemisatSardis.jpeg",/work/bba4287/output/samples/artworks/sampletest_Ancient_Art__period.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Ancient_Art__Create.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Ancient_Art__Create.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Ancient_Art__Create.png,1,1,0,1,1,1,1,1,1,0.9166666666666666,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Ancient Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: An artwork in a style of Ancient Art? Please provide a clear yes or no answer",1,1,1
Ancient Art,-3000,500,,Generate,(imperative) an artwork in a style of (period),period,Generate an artwork in a style of Ancient Art,1,"https://www.artic.edu/artworks/64339/coffin-and-mummy-of-pa-ankh-en-amun,https://www.getty.edu/art/collection/object/1097PM,https://www.getty.edu/art/collection/object/103SXY,https://www.getty.edu/art/collection/object/103T1E,https://www.getty.edu/art/collection/object/103WJV,https://www.metmuseum.org/art/collection/search/322609,https://www.getty.edu/art/collection/object/103SQR,https://www.getty.edu/art/collection/object/103QSV,https://www.getty.edu/art/collection/object/103WEB,https://www.metmuseum.org/art/collection/search/252453","symbolic,preserved,symbolism,craftsmanship,ritual,early civilization,religious and methodological themes,symbolic imagery ","/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/CoffinandMummyofPa-ankh-en-Amun.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatueofHercules.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofAlexandertheGreat.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofJuliusCaesar.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofaBeardedMan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/Human-headedwingedlion.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatuetteofaFemaleFigure.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AtticPanathenaicAmphora.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AltarwiththeMythofAdonis.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/MarblecolumnfromtheTempleofArtemisatSardis.jpeg",/work/bba4287/output/samples/artworks/sampletest_Ancient_Art__period.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Ancient_Art__Generate.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Ancient_Art__Generate.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Ancient_Art__Generate.png,1,1,0,1,1,0,1,1,1,0.8333333333333334,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Ancient Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: An artwork in a style of Ancient Art? Please provide a clear yes or no answer",1,1,1
Ancient Art,-3000,500,-2650.0,Create,(imperative) an artwork in a style that was popular in the Western world in (year),year,Create an artwork in a style that was popular in the Western world in -2650,2,"https://www.artic.edu/artworks/64339/coffin-and-mummy-of-pa-ankh-en-amun,https://www.getty.edu/art/collection/object/1097PM,https://www.getty.edu/art/collection/object/103SXY,https://www.getty.edu/art/collection/object/103T1E,https://www.getty.edu/art/collection/object/103WJV,https://www.metmuseum.org/art/collection/search/322609,https://www.getty.edu/art/collection/object/103SQR,https://www.getty.edu/art/collection/object/103QSV,https://www.getty.edu/art/collection/object/103WEB,https://www.metmuseum.org/art/collection/search/252453","symbolic,preserved,symbolism,craftsmanship,ritual,early civilization,religious and methodological themes,symbolic imagery ","/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/CoffinandMummyofPa-ankh-en-Amun.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatueofHercules.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofAlexandertheGreat.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofJuliusCaesar.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofaBeardedMan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/Human-headedwingedlion.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatuetteofaFemaleFigure.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AtticPanathenaicAmphora.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AltarwiththeMythofAdonis.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/MarblecolumnfromtheTempleofArtemisatSardis.jpeg",/work/bba4287/output/samples/artworks/sampletest_Ancient_Art_-2650_year.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Ancient_Art_-2650_Create.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Ancient_Art_-2650_Create.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Ancient_Art_-2650_Create.png,1,0,0,1,0,1,1,0,1,0.4166666666666667,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Ancient Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: An artwork in a style that was popular in the Western world in -2650? Please provide a clear yes or no answer",0,0,0
Ancient Art,-3000,500,-550.0,Produce,(imperative) an artwork in a style that was popular in the Western world in (year),year,Produce an artwork in a style that was popular in the Western world in -550,2,"https://www.artic.edu/artworks/64339/coffin-and-mummy-of-pa-ankh-en-amun,https://www.getty.edu/art/collection/object/1097PM,https://www.getty.edu/art/collection/object/103SXY,https://www.getty.edu/art/collection/object/103T1E,https://www.getty.edu/art/collection/object/103WJV,https://www.metmuseum.org/art/collection/search/322609,https://www.getty.edu/art/collection/object/103SQR,https://www.getty.edu/art/collection/object/103QSV,https://www.getty.edu/art/collection/object/103WEB,https://www.metmuseum.org/art/collection/search/252453","symbolic,preserved,symbolism,craftsmanship,ritual,early civilization,religious and methodological themes,symbolic imagery ","/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/CoffinandMummyofPa-ankh-en-Amun.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatueofHercules.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofAlexandertheGreat.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofJuliusCaesar.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/PortraitofaBeardedMan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/Human-headedwingedlion.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/StatuetteofaFemaleFigure.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AtticPanathenaicAmphora.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/AltarwiththeMythofAdonis.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/ancientArt/MarblecolumnfromtheTempleofArtemisatSardis.jpeg",/work/bba4287/output/samples/artworks/sampletest_Ancient_Art_-550_year.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Ancient_Art_-550_Produce.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Ancient_Art_-550_Produce.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Ancient_Art_-550_Produce.png,1,0,1,1,0,1,1,0,0,0.4166666666666667,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Ancient Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: An artwork in a style that was popular in the Western world in -550? Please provide a clear yes or no answer",0,0,0
Baroque Art,1600,1750,1705.0,Generate,(imperative) a work of art that exemplifies a popular style in Western cultures during (year),year,Generate a work of art that exemplifies a popular style in Western cultures during 1705,2,"https://recherche.smb.museum/detail/862322/amor-als-sieger?language=de,https://www.getty.edu/art/collection/object/103QS8,https://www.rijksmuseum.nl/nl/collectie/SK-C-216,https://www.rijksmuseum.nl/nl/collectie/SK-C-251,https://www.rijksmuseum.nl/nl/collectie/SK-C-6,https://sammlung.staedelmuseum.de/de/werk/der-geograf#gac,https://www.rijksmuseum.nl/nl/collectie/SK-A-4,https://www.metmuseum.org/art/collection/search/436453,https://www.rijksmuseum.nl/nl/collectie/SK-C-374,https://www.rijksmuseum.nl/nl/collectie/SK-A-345","dramatic,ornate,grandiose,lavish,opulent,vivid,ornamentation,grandeur,lavishness,opulence,vibrancy,grandeur in scale and detail,elaborate ornamentation,complex composition","/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CupidasVictor.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheAbductionofEuropa.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/IsaacandRebecca.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/WomanReadingaLetter.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheSyndics.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheGeographer.png,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheThreatenedSwan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/EstherbeforeAhasuerus.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/SchuttersvanwijkXIonderleidingvankapiteinReynierReael.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CimonenPero.jpg",/work/bba4287/output/samples/artworks/sampletest_Baroque_Art_1705_year.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Baroque_Art_1705_Generate.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Baroque_Art_1705_Generate.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Baroque_Art_1705_Generate.png,1,1,0,1,0,1,1,1,0,0.6666666666666666,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Baroque Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A work of art that exemplifies a popular style in Western cultures during 1705? Please provide a clear yes or no answer",1,0,1
Baroque Art,1600,1750,1645.0,Give me,(imperative) a work of art that exemplifies a popular style in Western cultures during (year),year,Give me a work of art that exemplifies a popular style in Western cultures during 1645,2,"https://recherche.smb.museum/detail/862322/amor-als-sieger?language=de,https://www.getty.edu/art/collection/object/103QS8,https://www.rijksmuseum.nl/nl/collectie/SK-C-216,https://www.rijksmuseum.nl/nl/collectie/SK-C-251,https://www.rijksmuseum.nl/nl/collectie/SK-C-6,https://sammlung.staedelmuseum.de/de/werk/der-geograf#gac,https://www.rijksmuseum.nl/nl/collectie/SK-A-4,https://www.metmuseum.org/art/collection/search/436453,https://www.rijksmuseum.nl/nl/collectie/SK-C-374,https://www.rijksmuseum.nl/nl/collectie/SK-A-345","dramatic,ornate,grandiose,lavish,opulent,vivid,ornamentation,grandeur,lavishness,opulence,vibrancy,grandeur in scale and detail,elaborate ornamentation,complex composition","/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CupidasVictor.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheAbductionofEuropa.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/IsaacandRebecca.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/WomanReadingaLetter.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheSyndics.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheGeographer.png,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheThreatenedSwan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/EstherbeforeAhasuerus.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/SchuttersvanwijkXIonderleidingvankapiteinReynierReael.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CimonenPero.jpg",/work/bba4287/output/samples/artworks/sampletest_Baroque_Art_1645_year.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Baroque_Art_1645_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Baroque_Art_1645_Give_me.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Baroque_Art_1645_Give_me.png,1,1,0,1,0,1,1,1,0,0.6666666666666666,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Baroque Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A work of art that exemplifies a popular style in Western cultures during 1645? Please provide a clear yes or no answer",1,0,1
Baroque Art,1600,1750,,Give me,(imperative) an artwork in a style of (period),period,Give me an artwork in a style of Baroque Art,1,"https://recherche.smb.museum/detail/862322/amor-als-sieger?language=de,https://www.getty.edu/art/collection/object/103QS8,https://www.rijksmuseum.nl/nl/collectie/SK-C-216,https://www.rijksmuseum.nl/nl/collectie/SK-C-251,https://www.rijksmuseum.nl/nl/collectie/SK-C-6,https://sammlung.staedelmuseum.de/de/werk/der-geograf#gac,https://www.rijksmuseum.nl/nl/collectie/SK-A-4,https://www.metmuseum.org/art/collection/search/436453,https://www.rijksmuseum.nl/nl/collectie/SK-C-374,https://www.rijksmuseum.nl/nl/collectie/SK-A-345","dramatic,ornate,grandiose,lavish,opulent,vivid,ornamentation,grandeur,lavishness,opulence,vibrancy,grandeur in scale and detail,elaborate ornamentation,complex composition","/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CupidasVictor.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheAbductionofEuropa.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/IsaacandRebecca.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/WomanReadingaLetter.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheSyndics.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheGeographer.png,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheThreatenedSwan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/EstherbeforeAhasuerus.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/SchuttersvanwijkXIonderleidingvankapiteinReynierReael.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CimonenPero.jpg",/work/bba4287/output/samples/artworks/sampletest_Baroque_Art__period.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Baroque_Art__Give_me.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Baroque_Art__Give_me.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Baroque_Art__Give_me.png,1,1,0,1,1,0,1,1,0,0.75,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Baroque Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: An artwork in a style of Baroque Art? Please provide a clear yes or no answer",1,1,1
Baroque Art,1600,1750,,Generate,(imperative) an artwork in a style of (period),period,Generate an artwork in a style of Baroque Art,1,"https://recherche.smb.museum/detail/862322/amor-als-sieger?language=de,https://www.getty.edu/art/collection/object/103QS8,https://www.rijksmuseum.nl/nl/collectie/SK-C-216,https://www.rijksmuseum.nl/nl/collectie/SK-C-251,https://www.rijksmuseum.nl/nl/collectie/SK-C-6,https://sammlung.staedelmuseum.de/de/werk/der-geograf#gac,https://www.rijksmuseum.nl/nl/collectie/SK-A-4,https://www.metmuseum.org/art/collection/search/436453,https://www.rijksmuseum.nl/nl/collectie/SK-C-374,https://www.rijksmuseum.nl/nl/collectie/SK-A-345","dramatic,ornate,grandiose,lavish,opulent,vivid,ornamentation,grandeur,lavishness,opulence,vibrancy,grandeur in scale and detail,elaborate ornamentation,complex composition","/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CupidasVictor.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheAbductionofEuropa.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/IsaacandRebecca.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/WomanReadingaLetter.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheSyndics.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheGeographer.png,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/TheThreatenedSwan.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/EstherbeforeAhasuerus.jpeg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/SchuttersvanwijkXIonderleidingvankapiteinReynierReael.jpg,/work/bba4287/AIPlayground/goldenRecordImages/artworks/baroqueArt/CimonenPero.jpg",/work/bba4287/output/samples/artworks/sampletest_Baroque_Art__period.png,/work/bba4287/output/sdxlbase/artworks/sampletest_sdxlbase_Baroque_Art__Generate.png,/work/bba4287/output/sdxlTurbo/samples/artworks/sampletest_sdxlturbo_Baroque_Art__Generate.png,/work/bba4287/output/sdv15/artworks/sampletest_sdv15_Baroque_Art__Generate.png,1,1,0,1,1,0,1,1,0,0.75,"Is there an artwork in the image? Please provide a clear, concise yes or no answer; Is the artwork in the style of Baroque Art? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: An artwork in a style of Baroque Art? Please provide a clear yes or no answer",1,1,1
