name,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,promptedage,goldenrecordImages,expectedValue,testImage,testImage_sdxlbase,testImage_sdxlturbo,testImage_sdv15,annotation_verdict_subject_present_1_sdxlturbo,annotation_verdict_Temp_Know_1_sdxlturbo,annotation_verdict_visual_err_1_sdxlturbo,annotation_verdict_subject_present_1_sdxlbase,annotation_verdict_Temp_Know_1_sdxlbase,annotation_verdict_visual_err_1_sdxlbase,annotation_verdict_subject_present_1_sdv15,annotation_verdict_Temp_Know_1_sdv15,annotation_verdict_visual_err_1_sdv15,annotationAverage,promptQuestions,annotation_verdict_final_1_sdxlturbo,annotation_verdict_final_1_sdxlbase,annotation_verdict_final_1_sdv15
African Civet,15,28.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of an African Civet that is 7 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20civet.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Civettictis%20civetta%2011.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AfricanCivet.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",/work/bba4287/output/samples/animals/sampletest_African_Civet_0.5*lifespan_Generate.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Civet_0.5*lifespan_Generate.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Civet_0.5*lifespan_Generate.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Civet_0.5*lifespan_Generate.png,1,1,1,1,1,1,1,1,0,0.9166666666666666,"Is there an African Civet in the image? Please provide a clear, concise yes or no answer; Is the African Civet in the image 7 years old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Civet that is 7 years old? Please provide a clear yes or no answer",1,1,1
African Civet,15,28.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Give me,Give me a photorealistic image of an African Civet that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20civet.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Civettictis%20civetta%2011.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AfricanCivet.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",/work/bba4287/output/samples/animals/sampletest_African_Civet_1_month_Give_me.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Civet_1_month_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Civet_1_month_Give_me.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Civet_1_month_Give_me.png,1,1,1,1,1,1,1,1,0,0.9166666666666666,"Is there an African Civet in the image? Please provide a clear, concise yes or no answer; Is the African Civet in the image 1 month old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Civet that is 1 month old? Please provide a clear yes or no answer",1,1,1
African Civet,15,28.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Produce,Produce a photorealistic image of an African Civet that is 12 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20civet.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Civettictis%20civetta%2011.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AfricanCivet.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",/work/bba4287/output/samples/animals/sampletest_African_Civet_lifespan*0.8_Produce.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Civet_lifespan*0.8_Produce.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Civet_lifespan*0.8_Produce.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Civet_lifespan*0.8_Produce.png,1,0,1,1,0,0,1,0,0,0.3333333333333333,"Is there an African Civet in the image? Please provide a clear, concise yes or no answer; Is the African Civet in the image 12 years old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Civet that is 12 years old? Please provide a clear yes or no answer",0,0,0
African Civet,15,28.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Give me,Give me a photorealistic image of an African Civet that is 30 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20civet.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Civettictis%20civetta%2011.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AfricanCivet.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",/work/bba4287/output/samples/animals/sampletest_African_Civet_lifespan*2_Give_me.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Civet_lifespan*2_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Civet_lifespan*2_Give_me.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Civet_lifespan*2_Give_me.png,1,0,1,1,0,1,1,0,0,0.4166666666666667,"Is there an African Civet in the image? Please provide a clear, concise yes or no answer; Is the African Civet in the image 30 years old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Civet that is 30 years old? Please provide a clear yes or no answer",0,0,0
African Wild Dog,12,17.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of an African Wild Dog that is 6 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus%20%28Temminck%2C%201820%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",/work/bba4287/output/samples/animals/sampletest_African_Wild_Dog_0.5*lifespan_Generate.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Wild_Dog_0.5*lifespan_Generate.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Wild_Dog_0.5*lifespan_Generate.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Wild_Dog_0.5*lifespan_Generate.png,1,1,1,1,1,1,1,1,0,0.9166666666666666,"Is there an African Wild Dog in the image? Please provide a clear, concise yes or no answer; Is the African Wild Dog in the image 6 years old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Wild Dog that is 6 years old? Please provide a clear yes or no answer",1,1,1
African Wild Dog,12,17.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Produce,Produce a photorealistic image of an African Wild Dog that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus%20%28Temminck%2C%201820%29.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",/work/bba4287/output/samples/animals/sampletest_African_Wild_Dog_1_month_Produce.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Wild_Dog_1_month_Produce.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Wild_Dog_1_month_Produce.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Wild_Dog_1_month_Produce.png,1,0,1,0,0,1,1,0,1,0.4166666666666667,"Is there an African Wild Dog in the image? Please provide a clear, concise yes or no answer; Is the African Wild Dog in the image 1 month old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Wild Dog that is 1 month old? Please provide a clear yes or no answer",0,0,0
African Wild Dog,12,17.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Generate,Generate a photorealistic image of an African Wild Dog that is 9 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus%20%28Temminck%2C%201820%29.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",/work/bba4287/output/samples/animals/sampletest_African_Wild_Dog_lifespan*0.8_Generate.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Wild_Dog_lifespan*0.8_Generate.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Wild_Dog_lifespan*0.8_Generate.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Wild_Dog_lifespan*0.8_Generate.png,1,0,1,0,0,1,1,0,0,0.3333333333333333,"Is there an African Wild Dog in the image? Please provide a clear, concise yes or no answer; Is the African Wild Dog in the image 9 years old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Wild Dog that is 9 years old? Please provide a clear yes or no answer",0,0,0
African Wild Dog,12,17.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an African Wild Dog that is 24 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lycaon%20pictus%20%28Temminck%2C%201820%29.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",/work/bba4287/output/samples/animals/sampletest_African_Wild_Dog_lifespan*2_Generate.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_African_Wild_Dog_lifespan*2_Generate.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_African_Wild_Dog_lifespan*2_Generate.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_African_Wild_Dog_lifespan*2_Generate.png,1,0,1,0,0,1,1,0,0,0.3333333333333333,"Is there an African Wild Dog in the image? Please provide a clear, concise yes or no answer; Is the African Wild Dog in the image 24 years old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an African Wild Dog that is 24 years old? Please provide a clear yes or no answer",0,0,0
Aye-aye,20,32.3,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Create,Create a photorealistic image of an Aye-aye that is 10 years old,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Wild%20aye%20aye.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",/work/bba4287/output/samples/animals/sampletest_Aye-aye_0.5*lifespan_Create.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_Aye-aye_0.5*lifespan_Create.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_Aye-aye_0.5*lifespan_Create.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_Aye-aye_0.5*lifespan_Create.png,1,1,1,1,1,1,1,0,0,0.75,"Is there an Aye-aye in the image? Please provide a clear, concise yes or no answer; Is the Aye-aye in the image 10 years old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an Aye-aye that is 10 years old? Please provide a clear yes or no answer",1,1,0
Aye-aye,20,32.3,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Produce,Produce a photorealistic image of an Aye-aye that is 1 month old,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Wild%20aye%20aye.jpg,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",/work/bba4287/output/samples/animals/sampletest_Aye-aye_1_month_Produce.png,/work/bba4287/output/sdxlbase/animals/sampletest_sdxlbase_Aye-aye_1_month_Produce.png,/work/bba4287/output/sdxlTurbo/samples/animals/sampletest_sdxlturbo_Aye-aye_1_month_Produce.png,/work/bba4287/output/sdv15/animals/sampletest_sdv15_Aye-aye_1_month_Produce.png,1,1,1,1,0,1,1,1,0,0.75,"Is there an Aye-aye in the image? Please provide a clear, concise yes or no answer; Is the Aye-aye in the image 1 month old? Please provide a clear, concise yes or no answer; Is the image photorealistic and free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of an Aye-aye that is 1 month old? Please provide a clear yes or no answer",1,0,1
