promptcategory,place,suggestion,imperative,prompttemplate,prompt,difficulty
maps,europe,1914,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1914,1
maps,europe,1939,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1939,1
maps,europe,1940,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1940,1
maps,europe,1200,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1200,1
maps,europe,1918,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1918,1
maps,europe,1500,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1500,1
maps,europe,1938,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1938,1
maps,europe,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1800,1
maps,america,1776,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1776,1
maps,america,1754,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1754,1
maps,america,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1800,1
maps,america,1883,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1883,1
maps,america,1860,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1860,1
maps,america,1864,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1864,1
maps,usa,1820,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1820,1
maps,usa,1861,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1861,1
maps,usa,1899,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1899,1
maps,usa,1880,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1880,1
maps,usa,1860,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1860,1
maps,usa,1883,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1883,1
maps,usa,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1800,1
maps,usa,1850,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1850,1
